
Double Clutchers,House Concert,concerts
Summer Concert Series,Santee Summer Concert Series- Town Center Community Park East,concerts
"""A Midsummer Night's Concert""",Embarcadero Marina Park South,concerts
Bayside Gospel Concert Aboard the Midway 2016,USS Midway,concerts
Echo and the Bunnymen,Humphrey's Concerts By The Bay,concerts
Brent Payne- Brent,Humphrey's Concerts By The Bay,concerts
The Psychedelic Furs With Special Guest The Church,Humphrey's Concerts By The Bay,concerts
Lost 80s Live,Humphrey's Concerts By The Bay,concerts
Boz Scaggs,Humphrey's Concerts By The Bay,concerts
O.A.R.,Humphrey's Concerts By The Bay,concerts
Double Clutchers,House Concert,concerts
Summer Concert Series,Santee Summer Concert Series- Town Center Community Park East,concerts
"""A Midsummer Night's Concert""",Embarcadero Marina Park South,concerts
Bayside Gospel Concert Aboard the Midway 2016,USS Midway,concerts
Brent Payne- Brent,Humphrey's Concerts By The Bay,concerts
Echo and the Bunnymen,Humphrey's Concerts By The Bay,concerts
Boz Scaggs,Humphrey's Concerts By The Bay,concerts
The Psychedelic Furs With Special Guest The Church,Humphrey's Concerts By The Bay,concerts
O.A.R.,Humphrey's Concerts By The Bay,concerts
Lost 80s Live,Humphrey's Concerts By The Bay,concerts
Boz Scaggs,Humphrey's Concerts By The Bay,concerts
Indigo Girls,Humphrey's Concerts By The Bay,concerts
Jake Shimabukuro,Humphrey's Concerts By The Bay,concerts
Santanaways,Santee Summer Concert Series- Town Center Community Park East,concerts
Missy Andersen,Humphrey's Concerts By The Bay,concerts
Michelle Lundeen,Humphrey's Concerts By The Bay,concerts
Missy Andersen,Humphrey's Concerts By The Bay,concerts
Flume Concert TICKET,Valley View Casino & Hotel,concerts
Green Flash Concert,Birch Aquarium at Scripps,concerts
Green Flash Concert,Birch Aquarium at Scripps,concerts
Green Flash Concert,Birch Aquarium at Scripps,concerts
Summer Nights Concert,The Rock Church,concerts
Summer Jazz Concert,San Diego Botanic Garden,concerts
Classy Country Benefit Concert,PreFab Coworking - At the Headquarters,concerts
Point Loma Summer Concerts 2016,Point Loma Park,concerts
USD Choral Scholars and Concert Choir,University of San Diego,concerts
Bird Rock Acoustic Concert,Riffs Studios,concerts
Sunday Organ Concerts,Spreckels Organ Pavilion,concerts
Michael Tiernan,Stone Brewing World Bistro & Gardens,concerts
Michael Tiernan,Stone Brewing World Bistro & Gardens,concerts
Michael Tiernan,Stone Brewing World Bistro & Gardens,concerts
SantanaWays,Spreckels Organ Pavillion,concerts
Michele Lundeen,"Cardiff By The Sea, California, United States",concerts
Twilight in the Park Concert - Coronado Concert Band,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - The San Diego Concert Band,Spreckels Organ Pavilion,concerts
Michele Lundeen,Bourres,concerts
The One80SD Tonight Show/Concert,ONE80SD,concerts
LIVE in Concert: Old Dominion,Moonshine Beach,concerts
LIVE in Concert: Cassadee Pope,Moonshine Beach,concerts
Community Concerts of RSF SEASON 2016-2017,Village Community Presbyterian Church,concerts
Forecast,Standley Community Park,concerts
Jazz at the Creek 2016,Market Creek Plaza (Market St & Euclid St,concerts
A New Urban Groove @ North Park Concert Series,Bird Park,concerts
Twilight in the Park Concert - Bayou Brothers,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - SantanaWays,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Breez'n,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Dixie Express,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Afrotruko,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Swamp Critters,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - The Legends,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Afrotruko,Spreckels Organ Pavilion,concerts
Cécile McLorin Salvant,Embarcadero Marina Park South,concerts
Feeding the Soul Foundation Presents O’Side Outside Summer Concert Series,Surfside Tap Room,concerts
Pier South Resort Ocean Concert Series feat. No-Pals,Pier South Resort,concerts
Twilight in the Park Concert - Chula Vista Mariacho,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - San Diego Civic Dance,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Moonlight Serenade Orchestra,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Lady J Blues,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Coronado Big Band,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Moxie San Diego Girls Band,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Moxie San Diego Girls Band,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - El Cajon German Band,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Rockin Jazz Big Band,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Bi-Nacional de Mambo Orquestra,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Mariachi Estrella de Chula Vista,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - San Diego Youth Symphony,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - San Diego Civic Dance,Spreckels Organ Pavilion,concerts
Twilight in the Park Concert - Chula Vista Mariacho,Spreckels Organ Pavilion,concerts
Doug Ellington & A New Urban Groove,Bird Park Summer Concerts,concerts
Three Chord Justice,Bird Park Summer Concerts,concerts
"Hullabaloo on the Waterfront  **A Family Music Concert Series, May through September**",Waterfront Park (Embarcadero),concerts
Twilight in the Park Concert - Harvey and the 52nd Street Jive,Spreckels Organ Pavilion,concerts
Baja Blues Boys,Ramona Concerts in the Park,concerts
Backwater Blues,Humphrey's Concerts By The Bay,concerts
Jim Jefferies,Humphrey's Concerts By The Bay,concerts
Backwater Blues,Humphrey's Concerts By The Bay,concerts
Michelle Lundeen,Humphrey's Concerts By The Bay,concerts
Mercedes Moore,Humphrey's Concerts By The Bay,concerts
OAR,Humphrey's Concerts By The Bay,concerts
